geo2,geocodenum,p_hs_sigungu2006,p_hs_sido2006,mean2006,gini2006,theil2006,low_inc_dong2006,hi_inc_dong2006,low_inc_sigungu2006,hi_inc_sigungu2006,hsppl2006,d_inc_sigungu2006,x_inc_sigungu_low2006,x_inc_sigungu_high2006,d_inc_sido2006,x_inc_sido_low2006,x_inc_sido_high2006,geocode_str,p_hs_sigungu2010,p_hs_sido2010,mean2010,gini2010,theil2010,low_inc_dong2010,hi_inc_dong2010,low_inc_sigungu2010,hi_inc_sigungu2010,hsppl2010,d_inc_sigungu2010,x_inc_sigungu_low2010,x_inc_sigungu_high2010,d_inc_sido2010,x_inc_sido_low2010,x_inc_sido_high2010
전라북도 완주군,35310,,,,,,,,,,,,,,,,,12-174-011,.087705195,.027960233,281.35458,.36463541,.24403162,2815,789,151,20,346,.23642384,.11271181,.85097414,.21870796,.19484414,.76377577
전라북도 진안군,35320,,,,,,,,,,,,,,,,,12-175-011,.1652239,.027960233,248.66386,.32416278,.20050737,2815,789,27,1,49,.74074072,.032407407,.875,.21870796,.19484414,.76377577
전라북도 무주군,35330,,,,,,,,,,,,,,,,,12-176-011,.072541535,.027960233,261.01273,.34866381,.21346609,2815,789,66,7,153,.35714287,.089568764,.84450549,.21870796,.19484414,.76377577
전라북도 장수군,35340,,,,,,,,,,,,,,,,,12-177-011,.099278785,.027960233,299.83868,.31974459,.18881956,2815,789,25,4,83,.60000002,.06666667,.41666666,.21870796,.19484414,.76377577
전라북도 임실군,35350,,,,,,,,,,,,,,,,,12-178-011,.14525531,.027960233,245.47482,.33092004,.20600004,2815,789,57,2,150,.84210527,.028708134,.81818181,.21870796,.19484414,.76377577
전라북도 순창군,35360,,,,,,,,,,,,,,,,,12-179-011,.071862161,.027960233,270.12036,.44161162,.38821352,2815,789,72,4,136,.83333331,.041666668,.75,.21870796,.19484414,.76377577
전라북도 고창군,35370,,,,,,,,,,,,,,,,,12-180-011,.1137525,.027960233,259.7114,.34117669,.23704562,2815,789,132,9,307,.36616161,.057551369,.84408677,.21870796,.19484414,.76377577
전라북도 부안군,35380,,,,,,,,,,,,,,,,,12-181-011,.13539048,.027960233,238.87692,.36027968,.25308868,2815,789,78,8,164,.5,.075549453,.73660713,.21870796,.19484414,.76377577
전라남도 목포시,36010,,,,,,,,,,,,,,,,,13-182-051,.06417346,.019393677,318.24496,.34904999,.22521897,2111,1203,299,75,982,.42885172,.16032566,.63916498,.33811861,.180142,.71485746
전라남도 여수시,36020,,,,,,,,,,,,,,,,,13-183-011,.079327516,.019393677,363.07312,.31614029,.18595137,2815,789,278,154,1408,.50663364,.24504891,.44236103,.33811861,.180142,.71485746
전라남도 순천시,36030,,,,,,,,,,,,,,,,,13-184-011,.14813806,.019393677,351.09787,.3024652,.16928847,2815,789,257,140,1431,.46200666,.26347029,.48365617,.33811861,.180142,.71485746
전라남도 나주시,36040,,,,,,,,,,,,,,,,,13-185-011,.066902012,.019393677,257.30051,.37434125,.24898605,2815,789,153,18,369,.53594774,.085841611,.72965366,.33811861,.180142,.71485746
